# High-quality Arabidopsis PPIs dataset, a total of 11858 PPIs.
Protein1	Protein2
Q9SE33	Q9SUR9
Q8L5U0	Q94JU3
P43255	Q8L5U0
P45432	Q8W207
P45432	Q8L5U0
P43254	Q9LJD7
Q8W575	Q9LJD7
Q9FNY2	Q9FV70
Q9FNY3	Q9FV70
Q39011	Q9LN63
Q39255	Q9ZR12
O24646	Q8W191
Q9LES2	Q9SHZ6
Q9SHZ6	Q9SYG4
O24646	Q9SPL2
P35131	Q9SPL2
Q38898	Q39128
P24100	P30183
P25859	P30183
P93024	Q38830
P93045	Q84JG2
Q84JG2	Q9XI07
P92958	Q9FEB5
O22476	Q94F62
Q94F62	Q9ZWC8
Q39090	Q39255
O49484	Q39090
O49484	Q9LUQ9
Q9LNT9	Q9M1Q1
Q2V3N5	Q9LNT9
Q39255	Q9C9S2
Q9C9S2	Q9FHW7
O49484	Q9C9S2
Q9C9S2	Q9M1X5
Q39255	Q9FZ32
Q9FHW7	Q9FZ32
Q9FHW7	Q9LND7
Q9LND7	Q9LNT9
Q39255	Q9FE83
Q9FE83	Q9FHW7
Q39255	Q9XI00
Q9FHW7	Q9XI00
Q9LNT9	Q9XI00
O49484	Q9XI00
Q39255	Q9SKK0
Q9FHW7	Q9SKK0
O49484	Q9SKK0
Q9M1X5	Q9SKK0
Q9SKK0	Q9SY65
O49279	Q39255
O49279	Q9FHW7
O49279	O49484
O49279	Q9M1X5
Q39255	Q9LEX0
Q9FHW7	Q9LEX0
O49484	Q9LEX0
O04197	Q39255
O04197	Q9FHW7
O04197	Q94AH6
O04197	P43292
Q05609	Q0WPQ2
O23144	P20649
Q940X7	Q94AH6
Q38885	Q8LBP4
O48661	Q9ZUB3
O48661	Q94BN2
Q94BN2	Q9ZUB3
Q8GUP1	Q9M9G6
Q8LGH4	Q940X7
Q940X7	Q9FHW7
Q94AH6	Q9FHW7
P27323	Q9LDC0
P42804	Q940U6
O64903	Q39023
Q9C5W7	Q9FEG2
P42752	Q67Y93
P42753	Q67Y93
F4HTH8	Q9SEX2
Q9LX99	Q9SEX2
O82312	Q9LKF9
P45432	Q8W575
Q8W207	Q8W575
Q8L5U0	Q8W207
Q8L5U0	Q8LAZ7
P45432	Q8LAZ7
Q8W575	Q94JU3
Q9C932	Q9ZT50
Q8LBC0	Q9LFT8
Q8W034	Q9LFT8
Q8LBC0	Q8W4P1
Q38898	Q38998
P92960	Q38998
Q96252	Q96253
P60112	Q96252
P92549	Q96252
P83483	Q96252
Q96251	Q96252
Q940X7	Q9SDY5
Q94AH6	Q9SDY5
P42744	Q9SDY5
Q570C0	Q9SDY5
Q39231	Q9FE59
Q8L5U0	Q94AH6
Q39255	Q8LEA8
Q39255	Q9FDX1
Q39255	Q9SJ04
Q39255	Q9CAN4
Q39255	Q8L736
Q39255	Q9M1Y1
Q39255	Q6NPT8
Q39255	Q9ZUB8
Q39255	Q9FRH7
Q39255	Q9ZU90
Q39255	Q8LAW2
Q39255	Q9FHK0
Q39255	Q84JU4
Q8LEA8	Q9FHW7
Q9CAN4	Q9FHW7
Q8L736	Q9FHW7
Q9FHW7	Q9FJ80
Q9FHW7	Q9M0U9
Q9FHW7	Q9ZPE4
Q6NPT8	Q9FHW7
Q9FHW7	Q9ZUB8
Q8GX29	Q9FHW7
Q9FHW7	Q9FRH7
Q9FHK0	Q9FHW7
Q39255	Q94BT6
Q39255	Q9M0U9
Q94BT6	Q9FHW7
Q39255	Q9ZPE4
O49484	Q94BT6
O49484	Q570C0
O49484	Q9ZPE4
O49484	Q9M0U9
O65674	Q39090
O49279	O65674
Q9LNT9	Q9ZPE4
Q570C0	Q9LSX9
O81058	Q9ZPE4
O81057	Q39090
P93654	Q9SEL6
P43254	Q9M0K4
Q9C6B3	Q9FMV1
Q9C6B3	Q9SMN1
P18064	Q9LX49
P49333	Q05609
Q39255	Q94AH6
Q8LF80	Q8LGA1
P42751	Q8LF80
P42752	Q8LF80
P42753	Q8LF80
Q147G5	Q8LF80
Q39068	Q8LF80
P24100	P42751
P24100	Q8LGA1
P25859	P42751
O64682	Q9LSQ6
O64682	P25071
O23680	O81283
P43254	Q9LJR3
P43254	Q94BM7
P46639	Q9LZM8
Q38874	Q9LZM8
Q9FE25	Q9FN69
Q9FN69	Q9ZTC3
O22059	Q9FN69
Q8GV05	Q9FN69
Q9CAD0	Q9FN69
P27900	Q9CAD0
Q9CAD0	Q9FE25
Q9CAD0	Q9ZTC3
O22059	Q9CAD0
Q9CAD0	Q9XGN1
O22467	Q9LT47
O22467	O65312
O04719	Q9LDI3
Q8H1U5	Q9STS3
Q8H1U5	Q9M9L0
O80842	P37107
O22265	O80842
O80842	Q8LBP4
O22265	Q8LBP4
Q9LDC0	Q9ZR72
O22456	P29381
O22456	Q5XXE7
O22456	P17839
P17839	P29381
P56772	Q8GW78
P18064	Q38882
Q38822	Q570C0
P14713	Q38822
Q9SEI4	Q9SZD4
Q9SSB5	Q9SZD4
Q9C5U3	Q9SZD4
Q9MAK9	Q9SZD4
Q9FIB6	Q9SZD4
Q8RWF0	Q9SZD4
Q9SEI2	Q9SZD4
P34066	Q9SZD4
O23715	Q9SZD4
O81148	Q9SZD4
O81149	Q9SZD4
Q42134	Q9SZD4
O81146	Q9SZD4
O81147	Q9SZD4
P42742	Q9SZD4
O23714	Q9SZD4
O24633	Q9SZD4
Q7DLR9	Q9SZD4
Q8LD27	Q9SZD4
Q9LP45	Q9SZD4
O48844	Q9SZD4
Q9MAT0	Q9SZD4
Q9SIV2	Q9SZD4
Q6XJG8	Q9SZD4
Q9LNU4	Q9SZD4
Q9LQR8	Q9SZD4
O24412	Q9SZD4
Q9SGW3	Q9SZD4
Q9LT08	Q9SZD4
Q93Y35	Q9SZD4
Q9FN69	Q9SEI0
Q9CAD0	Q9SEI0
Q94BT6	Q9LKL2
Q9C9W9	Q9LKL2
Q8W420	Q9LKL2
O24606	Q9SKK0
O24606	Q708Y0
P43291	Q9SKK0
P43291	Q708Y0
Q39255	Q708Y0
Q708Y0	Q9FHW7
Q708Y0	Q9SLH0
Q708Y0	Q94AH6
Q94AH6	Q9SKK0
Q9FHN8	Q9ZPX9
P24100	P41376
O24409	P93022
P49677	P93022
P93022	Q38824
P93022	Q38831
O24409	Q9FGV1
P49677	Q9FGV1
Q38824	Q9FGV1
Q38831	Q9FGV1
O24409	P93024
P49677	P93024
P93024	Q38824
P93024	Q38831
O81445	Q9STV4
O81445	Q94C40
O81445	Q93VD3
Q8RWC9	Q9LTB8
Q9LEU7	Q9LTB8
Q9LTB8	Q9STV4
Q94C40	Q9LTB8
Q9LP51	Q9LTB8
Q9LDI3	Q9LTB8
Q93VD3	Q9LTB8
Q94CG0	Q9LTB8
Q9LTB8	Q9SEZ7
Q9LTB8	Q9SN43
O22932	Q9LTB8
Q9C562	Q9LTB8
Q8LAS7	Q9LP51
Q8LEM7	Q9LP51
O65674	Q9SKK0
Q39255	Q9C9W9
Q9C9W9	Q9FHW7
O49484	Q9C9W9
O65674	Q9C9W9
Q9C9W9	Q9M1X5
Q9M310	Q9SL93
Q9M310	Q9SY65
Q39255	Q9FGY4
Q9FGY4	Q9FHW7
O49484	Q9FGY4
O65674	Q9FGY4
Q9FGY4	Q9M1X5
O81057	Q9FGY4
Q9FGY4	Q9SY65
Q9FHW7	Q9ZVQ6
P43291	Q9C9W9
P43292	Q9C9W9
P41916	Q8H0U4
Q8H0U4	Q8W034
Q03250	Q8H0U4
O81283	Q8LPR9
O81283	Q38906
P93831	Q9LT47
P92973	Q08467
Q43309	Q9SAR0
Q43309	Q9T065
Q43309	Q9STR4
P94102	Q7Y1C5
P94102	Q7Y1C4
Q39009	Q7Y1C5
Q39009	Q7Y1C4
P94102	Q39009
Q84JS6	Q9LZM8
P14712	P43254
Q39238	Q8LJT8
Q39238	Q9LS09
Q8LPK4	Q9ZVN6
Q39255	Q9SQU1
F4JUL9	Q8LGI3
O65020	Q37001
Q37001	Q9LV01
Q9C8G9	Q9LDC0
Q9SCL7	Q9ZST4
Q9SLH3	Q9STX3
Q9LQT8	Q9STX3
Q96301	Q9SQI2
O04714	P18064
P42736	Q9STP8
Q39255	Q9STX3
Q9FHW7	Q9STX3
Q9SL93	Q9STX3
Q9LNT9	Q9STX3
O49484	Q9STX3
Q9M1X5	Q9STX3
Q94AH6	Q9STX3
Q1PDV2	Q9LY75
Q8L3X8	Q9LY75
O22315	Q9LY75
P24100	Q9LJ45
O80513	P24100
P24100	Q9FKF6
P24100	Q9LY16
P24100	Q9SHD3
Q8L5Y6	Q94AH6
Q38825	Q39255
Q9LKZ3	Q9LT47
Q39024	Q9S7U9
Q39026	Q9S7U9
Q39025	Q9S7U9
Q39024	Q94A06
Q9FJA2	Q9FT81
Q9FT81	Q9XGN1
P14713	P14714
P14713	P42497
P14713	P42498
P42497	P42498
Q8W234	Q9FUY2
Q5S2C3	Q5S2C4
Q38919	Q5S2C3
O22152	O81836
O81836	Q9XFB1
O81836	Q9LDT3
Q94BT6	Q9LNT9
O81057	Q94BT6
Q8W420	Q9C9W9
Q6LA42	Q94BT6
Q6LA42	Q8W420
Q93ZB7	Q9FMK7
O22476	Q9LVM5
O81001	Q8L8A5
O81001	Q9MAL9
Q8L8A5	Q8L8A8
O49675	Q8S9K3
Q42403	Q9SRZ6
Q05431	Q42403
Q8W2F1	Q9FE25
Q8W2F1	Q9ZTC3
P27900	Q8W2F1
Q8W2F1	Q9SEI0
Q9FE25	Q9FT81
Q9FT81	Q9ZTC3
Q9FNV8	Q9FT81
Q9C9A5	Q9FT81
Q6EVK6	Q9XI07
P14713	Q8GZM7
P14712	Q8GZM7
P93831	Q8L6Y4
Q8L6Y4	Q9ZSM8
Q8W5B1	Q9ZSM8
P93831	Q8W5B1
Q38920	Q9LX33
Q9FJV0	Q9LQQ9
P14713	Q84LH8
P14713	Q8L5W7
Q6AWX6	Q94JY4
Q94JY4	Q9LP46
P49677	Q570C0
Q8L7L8	Q9FQ08
Q6NKX5	Q8VWK4
Q8VWK4	Q9FJW5
Q8VWK4	Q9M2X3
P54609	Q94AG2
P48349	Q94AG2
P46014	Q94AG2
O22456	P35632
O22456	P48007
P29382	P48007
O22456	P35631
P17839	P29384
P17839	P29382
P29382	P35631
P35632	P48007
O22286	Q9ZVH4
Q8L765	Q9ZVH4
O22286	Q9C9L0
Q940X7	Q9ZVH4
Q940X7	Q9C9L0
Q8L765	Q9C9L0
P43273	Q5ICL9
Q39234	Q5ICL9
Q39163	Q5ICL9
Q39140	Q5ICL9
P93002	Q9FNZ4
O64843	P42731
P42731	Q39096
P42731	Q9C8M0
Q94AH6	Q9LQ95
Q9XHZ8	Q9ZVH4
Q9C9L0	Q9XHZ8
Q5S2C4	Q8S8M5
Q5XPJ9	Q8S8M5
Q1ECJ7	Q5XPJ9
Q9LEZ3	Q9LN63
Q9FMB6	Q9LN63
Q940D0	Q9ZNV9
Q940D0	Q9SAZ5
P43254	Q9FE22
Q6DBN1	Q9ZVH4
Q6DBN1	Q9C9L0
Q9M8J9	Q9ZVH4
Q6EJ98	Q9ZVH4
Q9LQ95	Q9ZVH4
Q9LV63	Q9ZVH4
Q94BN0	Q9ZVH4
Q9FMK7	Q9ZVH4
Q9SYL0	Q9ZVH4
P48002	Q9SJ56
Q84JS6	Q9SJ56
Q38874	Q9SJ56
P46639	Q9SW80
P46640	Q9SW80
P48002	Q9SW80
Q38874	Q9SW80
P48000	Q9FWS9
Q38874	Q9FWS9
P46639	Q94KL5
Q38874	Q94KL5
P46640	Q8S897
P48000	Q8S897
Q84JS6	Q8S897
O65685	P46639
O65685	P46640
O65685	Q84JS6
O65685	Q38874
P46639	Q9SIW1
P48000	Q9SIW1
Q84JS6	Q9SIW1
Q9FPQ8	Q9SIW1
P46640	Q9LZM8
P48002	Q9FXG8
Q84JS6	Q9FXG8
P48731	Q38874
P46639	Q9FPQ8
Q9FPQ8	Q9LZW2
F4HNU8	Q9FPQ8
P17839	Q38837
O22456	P29385
O22456	Q38836
O22456	Q8RYD9
Q38838	Q9FVC1
O82794	Q38838
A2RVQ5	Q9SZJ6
O64645	Q38876
P29381	Q9SZJ6
P29385	Q9SZJ6
P35631	Q9SZJ6
Q38841	Q9SZJ6
Q38847	Q9SZJ6
Q38840	Q9SZJ6
Q9FVC1	Q9SZJ6
Q9FIS1	Q9SZJ6
Q9SI38	Q9SZJ6
O82794	Q38876
O82794	Q9SZJ6
Q9FGZ5	Q9S9U2
Q7XJK8	Q9FKK2
Q7X9H5	Q9SUT6
Q7X9H5	Q7XJL1
O04492	Q9SP32
O04492	Q8GY79
O81283	Q9STE8
Q8LPR9	Q9FMD5
Q38822	Q8RYC8
P93024	Q38822
P42697	Q5W7F2
Q8L8A5	Q8S9M3
Q8L8A5	Q8L8A6
Q8L8A5	Q8L8A7
Q9FE22	Q9SYX2
Q1PDV2	Q8VY74
Q8L3X8	Q8VY74
Q8VY74	Q9LHP2
P92964	Q8VY74
P92965	Q8VY74
O81127	Q8VY74
Q8VY74	Q8VYA5
O22315	Q8VY74
Q39024	Q8LGD5
Q8LGD5	Q8S8P5
O22921	Q8LGD5
O22921	Q39024
Q38825	Q9ZR12
Q38825	Q9LPW7
Q38825	Q9LW29
Q38830	Q9ZR12
Q38830	Q9LPW7
Q38830	Q570C0
Q8W1E3	Q9C9W9
Q93ZL5	Q9C9W9
Q8LFV3	Q9C9W9
Q8W1E3	Q8W420
Q8W420	Q93ZL5
Q8LFV3	Q8W420
Q9C4Z7	Q9MBA2
Q5XPJ9	Q94JY4
Q9FV71	Q9LKZ3
Q9FNY3	Q9LKZ3
P29382	Q8RYD9
P29384	Q8RYD9
P29381	Q8RYD9
Q5XXE7	Q8RYD9
Q38836	Q8RYD9
Q84JK2	Q9SXZ2
Q7PCC6	Q9SXZ2
P93003	Q84JK2
Q3MK94	Q8RWC9
Q42545	Q9LXJ0
Q9FIG9	Q9LXJ0
Q42545	Q9FIG9
P93022	Q38832
Q38832	Q8RYC8
P93024	Q38832
P40940	Q8S2T0
Q33884	Q9XI46
Q8LKS5	Q9FMA3
A9LNK9	F4KDH9
F4KDH9	Q94AF0
F4KDH9	Q93VI4
F4KDH9	Q8VYW1
Q6NLQ6	Q9M7Q2
O81242	Q9LZ03
P43254	Q9SK53
P49597	Q940H6
Q94BT9	Q9SH30
Q8LEA8	Q9LNT9
O49484	Q8LEA8
Q8LEA8	Q9M1X5
O81057	Q8LEA8
Q94AH6	Q9SL93
Q94AH6	Q9LNT9
Q94AH6	Q9LSX8
O49484	Q94AH6
Q94AH6	Q9M1X5
Q1PEL7	Q94AH6
Q94AH6	Q9SY65
O81058	Q94AH6
O81055	Q94AH6
Q8LEA8	Q9LSX9
Q1PEL7	Q8LEA8
Q8LEA8	Q94AH6
O81057	Q94AH6
P24100	Q38819
Q7Y1C5	Q9XIR8
Q7Y1C4	Q9XIR8
Q7Y1C4	Q9FL96
Q944Q0	Q9SDS7
O64722	Q9FIW9
O64722	Q9FRL5
Q9FIW9	Q9ZPW7
Q9FIW9	Q9FKP8
Q9FIW9	Q9SVL0
Q9FIW9	Q9LXG0
Q9FIW9	Q9M9S0
Q9FIW9	Q9FRL5
Q9FIW9	Q9LHF0
Q9FKP8	Q9LXG0
Q9FIW9	Q9FMY7
Q9LXG0	Q9SVL0
Q9FRL5	Q9SVL0
Q9LHF0	Q9ZPW7
Q9LHF0	Q9SVL0
Q9LHF0	Q9LXG0
Q9LHF0	Q9M9S0
Q9FRL5	Q9LHF0
O22446	O64644
O64644	O80339
O64644	O80340
Q39016	Q39083
Q38869	Q39083
Q56WN1	Q9ZUZ2
Q94AG2	Q96300
O22476	Q94AG2
Q94AG2	Q94F62
Q39212	Q9SY69
Q6Q151	Q9SEU4
Q1PDV2	Q6Q151
Q6Q151	Q8L3X8
Q6Q151	Q9LHP2
Q6Q151	Q9XFR5
O81127	Q6Q151
Q6Q151	Q8VYA5
P92964	Q6Q151
P92965	Q6Q151
P18616	Q6Q151
P18064	Q9SKT0
O64682	Q9XF67
P93835	Q9SFD5
P93835	Q9ATB4
P93835	Q9AR19
Q9AR19	Q9SFD5
Q9AR19	Q9ATB4
Q9C5T4	Q9SAH7
Q9C5T4	Q9SK33
Q9SAH7	Q9SK33
Q27IK7	Q84M91
Q84JU6	Q9LSE2
Q9LQT8	Q9MAA7
Q9MAA7	Q9SLH3
Q9C8Y3	Q9MAA7
Q8GXW1	Q9MAA7
Q9MAA7	Q9STX3
Q9LYC1	Q9STX3
Q9LQT8	Q9LYC1
Q9LYC1	Q9SLH3
Q9C8Y3	Q9LYC1
Q8GXW1	Q9LYC1
Q940G6	Q9SLH3
Q940G6	Q9LQT8
Q940G6	Q9C8Y3
Q8GXW1	Q940G6
Q9FGX2	Q9M1G6
Q9M1G6	Q9SI15
O65683	Q9M1G6
C0Z2L5	Q9M1G6
Q9FUD3	Q9LZP8
O22763	Q9LZP8
Q9LZP8	Q9M1G6
B9DGI8	Q9LZP8
O65683	Q9FGX2
C0Z2L5	Q9FGX2
Q9LZP8	Q9SI15
O65683	Q9LZP8
C0Z2L5	Q9LZP8
Q8L940	Q9ZNR6
O80448	Q9ZNR6
O48963	Q9SWI1
Q9FMF5	Q9SWI1
Q9LV87	Q9SSL9
Q8LGH4	Q9M0V3
P48732	Q9M0V3
Q6NQ88	Q9M0V3
O49552	Q8LGH4
Q38998	Q93VD3
Q8LAS7	Q93VD3
Q8LEM7	Q93VD3
Q7FZF1	Q93VD3
Q93VD3	Q9FUQ7
Q8LGH4	Q9LJD7
Q8L5Y6	Q8LGH4
Q8LGH4	Q8W575
Q8L5U0	Q8LGH4
Q9LJD7	Q9M0V3
Q8LGH4	Q9FVU9
P43254	Q8LGH4
P48732	Q9LJD7
P35631	Q8W234
O50055	Q9SYX2
O50055	Q9LJR3
O50055	Q94BM7
Q9FMZ0	Q9ZWC8
Q9C952	Q9LKF9
Q8GUU3	Q9LKF9
A9LNK9	Q9LKF9
Q9FGR0	Q9LKF9
Q56XM9	Q8GUU3
A9LNK9	Q9FGR0
A9LNK9	Q56XM9
O82312	Q8GUU3
A9LNK9	O82312
O82312	Q9C952
Q8VY07	Q9SEL6
Q84K16	Q8VY07
P93026	Q8VY07
Q9C6I6	Q9LSW8
Q9SRQ3	Q9SYU4
Q9C5U1	Q9C5U2
Q9C5U2	Q9ZNV9
Q9C5U2	Q9ZNV8
Q9C5U2	Q9SAZ5
Q8L9Y3	Q9C5U2
Q9C5U1	Q9ZNV9
Q9C5U1	Q9ZNV8
Q9C5U1	Q9SAZ5
Q9C5U0	Q9C5U1
Q9C5U0	Q9ZNV9
Q9C5U0	Q9ZNV8
Q9SB04	Q9ZNV9
Q9SB04	Q9ZNV8
Q9SAZ5	Q9SB04
Q9SAZ5	Q9ZWS7
Q9ZNV8	Q9ZWS7
Q9ZNV9	Q9ZWS7
O80365	Q9ZNV9
O80365	Q9SAZ5
Q9SHC2	Q9ZNV9
Q9SAZ5	Q9SHC2
Q940D0	Q9ZNV8
Q9SAZ5	Q9ZWJ9
Q8L9Y3	Q9ZNV9
Q8L9Y3	Q9ZNV8
Q8L9Y3	Q9SAZ5
Q8L9Y3	Q9ZWJ9
Q9FG74	Q9XF67
Q9SUA3	Q9XF67
Q39183	Q9XF67
Q05999	Q9XF67
Q8RY37	Q9XF67
Q9LUK3	Q9XF67
F4I4F2	Q9XF67
Q1PFB9	Q9XF67
Q9LTW5	Q9XF67
Q64FQ2	Q9XF67
Q9M1P3	Q9XF67
Q9SJM3	Q9XF67
Q8W5B1	Q9LT47
Q6NLV4	Q9LKF9
O82811	Q9FGS5
Q9FGS5	Q9FJH7
O48915	Q8GYN5
Q8RY59	Q9LKW9
P92958	Q944A6
Q38997	Q944A6
Q84VQ1	Q944A6
Q944A6	Q9SCY5
Q944A6	Q9ZUU8
Q944A6	Q9LY61
O04203	Q944A6
F4HZY9	Q944A6
Q05753	Q9SQK3
P24100	Q9LZ78
Q38796	Q9C5G0
Q9C5G0	Q9FFF1
Q39057	Q9SMP0
Q39057	Q9ZVL3
Q39057	Q9SLG0
Q39057	Q8L4B2
Q8L4B2	Q9C7E8
Q7X9V2	Q9FHW2
Q7X9V2	Q8LGE3
Q8LGE3	Q9FHW2
P59220	Q9LD45
P27323	Q9SE33
Q9FVI6	Q9SXZ2
Q9FY48	Q9SJN0
P24100	Q8L4H0
Q8L850	Q9LQF2
Q94BT9	Q9S7J8
O82089	Q9S7J8
P94102	Q0PCS3
Q9C6B8	Q9LJX0
Q9C6B8	Q9ZR72
Q9LSD6	Q9SAF1
Q94JY4	Q9SAF1
F4JUL9	Q9SJW6
Q8LGI3	Q9LP46
F4JUL9	Q1ECJ7
Q1ECJ7	Q94JY4
Q1ECJ7	Q6AWX6
F4JUL9	Q9M117
Q8S8M5	Q8SAB7
Q94JY4	Q9FHY1
Q5XPJ9	Q9FHY1
Q9FHY1	Q9LP46
Q5XPJ9	Q8SAB7
Q5XPJ9	Q9XGU0
Q38903	Q5XPJ9
Q38919	Q8SAB7
Q8SAB7	Q9SBJ6
Q6F6B5	Q9C4Z7
Q42545	Q6F6B5
Q6F6B5	Q9MBA2
O04173	P28147
O04173	P28148
F4HVA6	O04173
O04173	Q6S7B0
F4HVA6	Q6NQH4
F4HVA6	Q6S7B0
F4HVA6	Q9M565
F4IPK2	Q6S7B0
Q6S7B0	Q9FH40
Q6NQH4	Q9M565
Q6S7B0	Q9SYH2
F4HVA6	Q9SYH2
O04173	Q9SYZ9
O04173	Q9SYH2
O04173	Q6NQH4
Q9MAU3	Q9SYH2
F4HR03	F4HVA6
F4IEM5	P18064
P59220	Q9LDI3
Q9LDI3	Q9S744
P59220	Q9ZVM9
P59220	Q9SSF8
Q9S744	Q9SSF8
Q03509	Q8LG64
P59220	Q03509
Q03509	Q9S744
P55737	Q03509
P55737	P59220
P55737	Q9S744
Q03509	Q38867
P59220	Q38867
Q38867	Q9S744
Q03509	Q9SND6
Q9S744	Q9SND6
Q03509	Q9SUP6
Q9S744	Q9SUP6
P59220	P83755
P83755	Q9S744
Q03509	Q42479
P59220	Q42479
O23320	Q70E96
O23320	Q93Z30
O23320	Q9FGX2
O23320	Q9M2K4
O23320	Q9FMC2
O23320	Q9M7Q2
O22763	O23320
O23320	Q93Z27
O23320	Q9SSF8
O23320	Q42479
O23320	O64817
O23320	Q9LDI3
O23320	Q9MAB4
O23320	Q8LG64
O23320	Q9ZVM9
O23320	Q9LX56
O23320	Q9LJY7
O23320	Q9M5K2
O23320	Q9SKN2
O23320	Q9ZPE4
O23320	Q8RWQ8
O23320	P55737
O23320	O81292
O23320	Q4PSU4
O23320	Q9FJK3
O23320	P29383
O23320	Q38876
O23320	Q9SND6
O23320	P43294
O23320	Q9SYB9
O23320	Q9LHI7
O23320	Q9LW66
O23320	Q9LV04
