Protein1	Protein2
Q0JBH9	Q6AVV1
Q6EUP4	Q6EUP4
Q10CQ1	Q7XUJ5
P49030	Q7XHQ8
Q6EU39	Q6Z6W2
Q0DJ33	Q84TA3
Q0DEB8	Q2QW53
Q33BE1	Q6YW54
Q0DJ33	Q75W16
Q2R4A0	Q339M7
A6N077	A6N077
P0DKK8	Q2QQD9
O82143	Q6ZD28
Q0DJ33	Q6K2E8
Q7XXS4	Q852Q1
Q0JBH9	Q84P81
Q6YX88	Q6ZA50
P0C5B2	Q9XJ60
Q84P60	Q84PD5
P0C5B2	Q0J466
Q40687	Q6YXX9
Q0DJ33	Q53PC7
Q10KN8	Q8W0F9
Q6ZIX2	Q84P88
P49661	Q0JL44
Q655G7	Q6YU05
P0DKK8	Q5JKR7
Q67U94	Q7XHZ0
Q0DJ33	Q6ATS0
Q0JM17	Q6YW54
Q0JD14	Q6ASR0
Q10CQ1	Q5K4R0
Q65WV2	Q6PL11
Q6ZKI8	Q84PD2
Q7XI96	Q7XTE8
A3AD08	O64464
Q65WT5	Q9LI00
Q0DN94	Q7F2P0
Q651Z5	Q7XTE8
O82143	Q5Z6I4
C7IZ16	Q2RBG8
Q5VNJ0	Q6ZIQ1
Q84P63	Q84PD5
Q9FE01	Q9FE01
O24230	Q0JDK9
Q0JBH9	Q84P80
Q40682	Q5Z627
Q7X873	Q7XXS4
Q5SN75	Q75V57
Q6EUP4	Q7XI96
A3AAZ0	Q6H500
Q5VRY1	Q5VRY1
Q06967	Q6EUP4
Q6K1R5	Q6ZL81
Q0D4T4	Q6EU39
Q0DJ33	Q6ATY4
A2ZX50	Q5ZCV2
Q5SNJ5	Q9SXG8
Q7XHX2	Q7XXS4
Q2QNM4	Q2QQD9
Q10CX4	Q10CX4
A3AD08	Q7XAM7
O82143	Q2R1M8
Q10D98	Q942Z3
Q0J2C6	Q0J2C6
Q2QYP1	Q2RBG8
Q84PC8	Q9AQW1
A3AD08	Q33BE1
P28752	Q0DJ33
Q10CF3	Q6K2T1
Q6K5Q1	Q7XI55
P0C314	Q0DJ33
Q2QQD9	Q6ESJ0
Q5VRY1	Q9LST9
Q06967	Q84P68
Q2QQD9	Q2QWJ9
Q2QW53	Q9SAR1
P14614	Q8RZX9
Q0DJA0	Q53PC7
Q2R4A0	Q7F0H8
P46466	Q0DJ33
Q0JBH9	Q0JL44
Q6EU39	Q9SAR1
P14323	Q84PD3
Q10S58	Q5Z6F5
A3AD08	P49030
Q9LST9	Q9LSU3
Q9LI00	Q9LI00
P12151	Q0DJ33
Q8RZX9	Q94LW0
Q84PB2	Q84PD9
Q10R21	Q7XHQ8
O80416	Q5VS84
P0C500	Q0DJ33
Q0DJ33	Q6H874
A3AD08	Q852Q1
Q40682	Q6YW46
Q6K2E1	Q8LNZ3
Q06967	Q2R2W2
Q69UI8	Q6H764
Q0E0H1	Q7XDT2
Q7XN53	Q84PD5
Q0E476	Q10S35
P25778	Q84PD6
Q10Q71	Q10Q71
Q0JBH9	Q5WAB3
Q84P69	Q8RZX9
Q0JBQ0	Q6K8R6
Q06967	Q84J55
Q06967	Q7XI96
Q0DBD3	Q6YW46
Q6Z6M4	Q7XXS4
Q84P89	Q944S9
Q3HRP2	Q6H7U5
Q7XXS4	Q7XXS4
Q6F388	Q6H6Q7
Q0JDK9	Q8W0H5
A3AD08	Q67UQ4
A6N077	Q07661
Q0DEB8	Q0J466
Q852Q1	Q8W0F9
Q0JL44	Q84P99
Q0JBH9	Q6AVA8
Q6Z437	Q7XPY2
Q6ZKC0	Q84PC1
Q0E476	Q6H500
A4PBL4	Q8GT06
B9FSH5	Q10KN8
Q69Y99	Q7X8P2
Q10PZ9	Q6EU39
Q10LL5	Q6YW54
Q2RB59	Q75I13
Q10CF3	Q10MW3
Q67X81	Q6Z7V3
Q0DJ33	Q84VG0
A3AD08	Q2RBC6
A3AAZ0	Q7X9A8
Q2QQD9	Q7F0H8
P07728	Q9AQW1
Q10CF3	Q943E6
Q0JM17	Q2QZ01
Q2QLT8	Q65XH8
A3AD08	Q2R8T2
Q10N20	Q2RB94
Q0DJ33	Q40687
Q7GBF7	Q7GBF7
Q0DJ33	Q2R8Z5
Q0JBH9	Q5Z8V8
Q10D98	Q10N20
Q6ZKC0	Q943W1
Q6Z6M4	Q7XHQ8
Q10D98	Q2QNM4
P48494	P48494
O82118	Q7X9A8
Q2R1M8	Q7XHQ8
Q2QQD9	Q6Z437
Q7XP52	Q852Q1
Q0DJ33	Q7F9I1
Q10CF3	Q6YX88
P14323	Q9FXT4
B9G2C8	Q69T30
Q5JK84	Q5JK84
P49027	Q8L5K0
Q33BE1	Q5ZCD9
P27777	Q0DJ33
P15280	Q0DJ33
A3AD08	Q2QWJ9
Q10CQ1	Q6EU39
Q10MW3	Q9LGL5
Q5Z9J0	Q6K7E6
Q0DJ33	Q10MJ1
Q10CQ1	Q10PZ9
Q5VNJ0	Q75I90
Q0JBH9	Q84P76
Q2QNJ8	Q2QQS1
Q2R8T2	Q69IL4
Q5ZD36	Q8S7W1
O64422	Q0JHF8
Q6K6Q0	Q6K6Q0
P27777	Q943E6
Q71VM4	Q8S7W1
Q6K9U2	Q9SDK9
Q84PA2	Q84PD3
H2KWD9	Q5J4W4
Q2QX01	Q7X6B6
Q10CQ1	Q2QW53
Q40687	Q75WU1
Q0JBH9	Q5KQN5
A3AD08	Q2R1M8
Q8W0F9	Q942Z3
Q3HRP0	Q75L42
Q5K4R0	Q6EU39
Q0J466	Q6EU39
Q10MW8	Q7F7I7
Q8LNZ3	Q8LNZ3
P20698	Q84PD2
Q0D4T4	Q0J466
Q84Q77	Q943E6
Q0J466	Q10PZ9
Q5ZC86	Q5ZC86
Q0E4Q5	Q0E4Q5
A3AD08	Q6YWQ2
P0C2Z3	Q0DJ33
Q8LNI5	Q9AUR3
B9FJG3	Q0DJ33
Q0J466	Q2QW53
Q2RBC6	Q4W8D0
P07728	Q06967
Q2QYF3	Q8H2X8
A3AAZ0	Q6ETX0
Q10CF3	Q5VRY1
Q84J55	Q84JG3
Q2R4A0	Q5VRY1
A3AD08	Q7XHX9
Q75LD8	Q7XXS4
Q6ZKC0	Q7XI96
Q0E476	Q6YW54
Q0E476	Q2QWZ1
Q6H7T1	Q7EYP9
P14614	Q84PD4
B7F6S9	Q18PR9
Q6ZKC0	Q84PB8
Q6YW54	Q6YW54
Q7XGS4	Q9FXT4
Q0JL44	Q33BD7
B6RRX3	Q9AWX3
Q84PC5	Q8LNI5
Q7XHZ0	Q84MN7
Q10CH5	Q689G9
Q10S58	Q8W0E4
Q5VNJ0	Q7XXS4
Q653Z6	Q84P90
Q53RM0	Q9ZST1
Q84P94	Q8S7W1
Q5VNW0	Q6ZKC0
Q0D8Z1	Q7GD79
Q10CQ1	Q7XUN2
Q6Q9I2	Q84P84
Q10D98	Q10KN8
P29545	Q40682
Q84P59	Q9AQW1
Q0DJ33	Q6ZD89
Q6H6T1	Q6YW46
O64437	Q8LI69
Q0D541	Q0D541
Q5ZEM1	Q5ZEM1
A3AD08	Q852K3
Q0DJ33	Q2QLY4
A3AD08	Q0DG05
P49027	Q10D98
Q7X8P2	Q9FWC4
Q84T78	Q8GVY2
A3AD08	Q7XQY5
P49210	Q0DJ33
Q10HD0	Q652G7
Q8GVH7	Q9AQW1
Q0DEB8	Q7XUN2
Q5SMK6	Q5VRM0
Q0DJ33	Q8H852
Q0DJ33	Q6K5G8
Q9SNQ2	Q9SNQ2
Q0DJ33	Q6ESI7
Q5JKR7	Q69UI8
Q10MW3	Q10MW3
P29545	Q40680
Q84PD2	Q8S7W1
Q2QW53	Q6EU39
Q6K6Z3	Q84PD0
Q6Z345	Q84PB7
Q9FXT8	Q9LGE3
Q10PZ9	Q6Q9I2
Q5VRY1	Q6K7E9
Q10CF3	Q8L5K0
Q0DJ33	Q7FB12
Q0DJ33	Q0J8M2
Q7G7J6	Q852L0
Q84JR0	Q944S9
Q70G58	Q7XKD0
Q0JBH9	Q84P82
Q2QQD9	Q9LST6
Q7XXS4	Q9LST9
P12331	Q652K1
Q84PD3	Q9AVE6
Q6Z6M4	Q7EYP9
O82143	Q40742
Q6ZKC0	Q8S6N3
Q69Y99	Q69Y99
Q06967	Q9AQW1
Q2QQD9	Q7XZG6
Q6ZKC0	Q84P77
